Definition,Meaning
abolish,ortadan kaldırmak
abortion,kürtaj
absence,yokluk
absent,mevcut olmayan
absorb,emmek
abstract,soyut
absurd,absürt
abundance,bolluk
abuse,suistimal etmek
academy,akademi
accelerate,hızlanmak
accent,aksan
acceptance,kabul
accessible,erişilebilir
accidentally,kazara
accommodate,Karşılamak
accomplish,sonuçlandırmak
accomplishment,başarı
accordance,uyum
accordingly,buna göre
accountability,Hesap verebilirlik
accountable,sorumlu
accountant,muhasebeci
accounting,muhasebe
accumulate,biriktirmek
accumulation,birikim
accuracy,kesinlik
accurately,doğru
accusation,suçlama
accused,sanık
acid,asit
acquisition,kazanma
acre,dönüm
activate,etkinleştir
activation,aktivasyon
activist,aktivist
acute,akut
adaptation,adaptasyon
addiction,bağımlılık
additionally,bunlara ek olarak
adequate,yeterli
adequately,yeterince
adhere,bağlı kalmak
adjacent,bitişik
adjust,ayarlamak
adjustment,ayarlama
administer,yönetmek
administrative,Yönetim
administrator,yönetici
admission,giriş
adolescent,ergen
adoption,Benimseme
adverse,Olumsuz
advocate,avukat
aesthetic,estetik
affection,alaka
affordable,ekonomik
aftermath,sonra
aggression,saldırganlık
agricultural,tarımsal
agriculture,tarım
aide,yardımcı
aids,AIDS
albeit,Gerçi
alert,uyarı
alien,yabancı
align,hizalamak
alignment,hizalama
alike,benzer
allegation,iddia
allege,iddia etmek
allegedly,iddiaya göre
alliance,ittifak
allocate,tahsis etmek
allocation,paylaştırma
allowance,harçlık
ally,müttefik
alongside,yanında
altogether,tamamen
aluminium,alüminyum
amateur,amatör
ambassador,büyükelçi
ambulance,ambulans
amend,değiştirmek
amendment,değişiklik
amid,ortasında
amusing,eğlenceli
analogy,analoji
analyst,analist
ancestor,Ata
anchor,Çapa
angel,melek
animation,animasyon
annually,yıllık
anonymous,anonim
anticipate,beklemek
anxiety,endişe
apology,özür
apparatus,aparat
appealing,çekici
appetite,iştah
applaud,alkışlamak
applicable,uygulanabilir
applicant,başvuru sahibi
appoint,atamak
appreciation,takdir
appropriately,uygun şekilde
arbitrary,keyfi
architectural,mimari
archive,Arşiv
arena,arena
arguably,tartışılır biçimde
arm,kol
array,sıralamak
arrow,ok
articulate,ifade
artwork,sanat eseri
ash,kül
aside,kenara
aspiration,aspirasyon
aspire,talip olmak
assassination,suikast
assault,saldırı
assemble,birleştirmek
assembly,toplantı
assert,ileri sürmek
assertion,iddia
asset,varlık
assign,atamak
